login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
gjungb,6,https://github.com/gjungb,User,False,4404.0,0.0,0.0,0,30,19,2,False,Angular,0.0,12.07
GavinMK,6,https://github.com/GavinMK,User,False,2938.0,0.0,0.0,0,3,1,0,False,Angular,0.0,8.05
naaajii,5,https://github.com/naaajii,User,False,2006.0,0.0,0.0,0,9,2,0,False,Angular,0.0,5.5
web-dave,5,https://github.com/web-dave,User,False,3807.0,0.0,0.0,0,30,134,17,False,Angular,0.0,10.43
amcdnl,5,https://github.com/amcdnl,User,False,5445.0,0.0,0.0,0,30,1209,178,False,Angular,0.0,14.92
andrius-pra,5,https://github.com/andrius-pra,User,False,3255.0,0.0,0.0,0,20,2,0,False,Angular,0.0,8.92
BrianDouglasIE,5,https://github.com/BrianDouglasIE,User,False,330.0,0.0,0.0,0,17,5,20,False,Angular,0.0,0.9
yjaaidi,5,https://github.com/yjaaidi,User,False,4493.0,0.0,0.0,0,26,156,66,False,Angular,0.0,12.31
vyom1611,5,https://github.com/vyom1611,User,False,1206.0,0.0,0.0,0,30,2,10,False,Angular,0.0,3.3
waterplea,5,https://github.com/waterplea,User,False,3603.0,0.0,0.0,0,13,377,19,False,Angular,0.0,9.87
JLHwung,5,https://github.com/JLHwung,User,False,4383.0,0.0,0.0,0,30,410,3,False,Angular,0.0,12.01
MrJithil,5,https://github.com/MrJithil,User,False,2898.0,0.0,0.0,0,30,12,1,False,Angular,0.0,7.94
juristr,5,https://github.com/juristr,User,False,5161.0,30.0,30.0,30,30,985,520,False,Angular,1.0,14.14
NothingEverHappens,5,https://github.com/NothingEverHappens,User,False,5462.0,30.0,30.0,30,30,12,11,False,Angular,1.0,14.96
Teamop,5,https://github.com/Teamop,User,False,3831.0,30.0,30.0,30,29,5,5,False,Angular,1.0,10.5
krzysztof-grzybek,5,https://github.com/krzysztof-grzybek,User,False,4075.0,30.0,30.0,30,30,49,11,False,Angular,1.0,11.16
ChellappanRajan,5,https://github.com/ChellappanRajan,User,False,3039.0,30.0,30.0,30,30,33,4,False,Angular,1.0,8.33
bob-watson,5,https://github.com/bob-watson,User,False,1031.0,30.0,2.0,9,5,2,0,False,Angular,0.06666666666666667,2.82
chrisguttandin,5,https://github.com/chrisguttandin,User,False,5561.0,0.0,0.0,0,30,362,237,False,Angular,0.0,15.24
cyrilletuzi,5,https://github.com/cyrilletuzi,User,False,5151.0,0.0,0.0,0,8,122,864,False,Angular,0.0,14.11
literalpie,5,https://github.com/literalpie,User,False,3142.0,0.0,0.0,0,30,43,64,False,Angular,0.0,8.61
damingerdai,5,https://github.com/damingerdai,User,False,3345.0,0.0,0.0,0,30,28,5,False,Angular,0.0,9.16
dannyskoog,5,https://github.com/dannyskoog,User,False,5129.0,0.0,0.0,0,30,6,2,False,Angular,0.0,14.05
georgewilde,5,https://github.com/georgewilde,User,False,4335.0,0.0,0.0,0,30,8,31,False,Angular,0.0,11.88
hannahhoward,5,https://github.com/hannahhoward,User,False,4746.0,0.0,0.0,0,30,158,105,False,Angular,0.0,13.0
architect254,5,https://github.com/architect254,User,False,1951.0,0.0,0.0,0,20,13,2,False,Angular,0.0,5.35
jbedard,5,https://github.com/jbedard,User,False,5744.0,0.0,0.0,0,30,40,24,False,Angular,0.0,15.74
JohannesHoppe,5,https://github.com/JohannesHoppe,User,False,5103.0,0.0,0.0,0,30,0,79,False,Angular,0.0,13.98
johnnygerard,5,https://github.com/johnnygerard,User,False,1930.0,0.0,0.0,0,30,2,1,False,Angular,0.0,5.29
ktcd,5,https://github.com/ktcd,User,False,3401.0,0.0,0.0,0,4,4,132,False,Angular,0.0,9.32
markgoho,5,https://github.com/markgoho,User,False,3746.0,30.0,30.0,30,30,43,5,False,Angular,1.0,10.26
abergquist,5,https://github.com/abergquist,User,False,3975.0,30.0,20.0,30,18,1,0,False,Angular,0.6666666666666666,10.89
simonaco,5,https://github.com/simonaco,User,False,4711.0,30.0,30.0,30,30,698,10,False,Angular,1.0,12.91
timdeschryver,5,https://github.com/timdeschryver,User,False,2837.0,30.0,30.0,30,30,729,28,False,Angular,1.0,7.77
