pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25686,3191,0,1,0,0.0,closed,True,True
25685,58,0,25,0,0.0,closed,False,False
25684,50,5,3,0,0.0,closed,False,False
25683,3434,124,16,0,0.0,closed,False,False
25682,13,0,21,0,0.0,closed,True,True
25681,0,2,0,0,0.0,closed,True,True
25680,3,2,0,0,0.0,closed,True,True
25679,2,0,0,0,0.0,closed,False,False
25678,6,0,0,0,0.0,closed,True,True
25677,5,0,238,1,1.0,closed,False,False
25676,3,3,0,0,0.0,closed,True,True
25675,1,0,0,0,0.0,closed,False,False
25674,14,1,9,0,0.0,closed,False,False
25673,50,5,6,0,0.0,closed,False,False
25672,0,1,0,0,0.0,closed,True,True
25671,1,0,6,0,0.0,closed,True,True
25670,1,0,2,0,0.0,closed,True,True
25669,1,0,0,0,0.0,closed,True,True
25668,90,0,6,0,0.0,closed,False,False
25667,2,0,9,0,0.0,closed,False,False
25666,49,0,3,0,0.0,closed,True,True
25665,15,0,5,0,0.0,closed,False,False
25664,2,1,0,0,0.0,closed,True,True
25663,1,0,2,0,0.0,closed,True,True
25662,0,0,1,0,0.0,closed,False,False
25661,1,0,0,0,0.0,closed,False,False
25660,1,0,0,0,0.0,closed,True,True
25659,3,2,0,0,0.0,closed,False,False
25658,4,0,0,0,0.0,closed,True,True
25657,223,0,8,0,0.0,closed,False,False
25656,1,0,0,0,0.0,closed,True,True
25655,31,19,0,0,0.0,closed,False,False
25654,1,0,0,0,0.0,closed,False,False
25653,0,0,0,0,0.0,closed,True,True
25652,4,0,1,0,0.0,closed,True,True
25651,1,0,1,0,0.0,closed,False,False
25650,2,1,0,0,0.0,closed,True,True
25649,1,0,1,1,0.5,closed,True,True
25648,50,5,14,0,0.0,closed,False,False
25647,1,1,0,0,0.0,closed,False,False
25646,6,6,0,0,0.0,closed,True,True
25645,1,0,1,0,0.0,closed,True,True
25644,14,1,1,0,0.0,closed,True,True
25643,1,0,0,0,0.0,closed,False,False
25642,28,0,7,0,0.0,closed,False,False
25641,2,0,1,0,0.0,closed,True,True
25640,7,7,0,0,0.0,closed,True,True
25639,3,0,1,0,0.0,closed,False,False
25638,5,0,1,0,0.0,closed,False,False
25637,9,0,1,0,0.0,closed,False,False
25636,2,3,0,0,0.0,closed,True,True
25635,1,1,0,0,0.0,closed,True,True
25634,1,1,0,0,0.0,closed,True,True
25633,4,0,0,0,0.0,closed,False,False
25632,10,0,0,0,0.0,closed,False,False
25631,2,2,0,0,0.0,closed,True,True
25630,2,2,0,0,0.0,closed,False,False
25629,2,1,0,0,0.0,closed,True,True
25628,4,0,6,0,0.0,closed,False,False
25627,3,0,0,0,0.0,closed,True,True
25626,2,0,0,0,0.0,closed,False,False
25625,1,0,0,0,0.0,closed,False,False
25624,0,0,1,0,0.0,closed,True,True
25623,1,1,1,0,0.0,closed,False,False
25622,1,0,0,0,0.0,closed,True,True
25621,1,0,0,0,0.0,closed,True,True
25620,1,1,0,0,0.0,closed,True,True
25619,2,0,28,0,0.0,closed,True,True
25618,106,103,9,0,0.0,closed,False,False
25617,103,105,2,0,0.0,closed,True,True
25615,88,98,0,0,0.0,closed,False,False
25614,1,1,0,1,0.5,closed,True,True
25613,1,0,0,0,0.0,closed,False,False
25612,1,1,0,0,0.0,closed,True,True
25611,9,0,0,0,0.0,closed,False,False
25610,5,2,0,0,0.0,closed,False,False
25609,1,1,0,0,0.0,closed,False,False
