pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6201,4,7,1,4,4.0,closed,True,True
6200,4,4,1,0,0.0,closed,True,True
6199,4,4,7,0,0.0,closed,True,True
6198,1,2,2,0,0.0,closed,True,True
6197,15,30,1,0,0.0,closed,True,True
6196,1,1,1,0,0.0,closed,True,True
6194,34,4,0,0,0.0,closed,False,False
6192,1,1,1,0,0.0,closed,True,True
6191,8,3,2,0,0.0,closed,True,True
6190,2,2,1,0,0.0,closed,True,True
6183,5,0,1,0,0.0,closed,True,True
6182,51,30,1,0,0.0,closed,True,True
6181,419,11,4,7,1.0,closed,True,True
6178,3,5,2,0,0.0,closed,False,False
6176,78,15,1,0,0.0,closed,False,False
6175,293,0,0,0,0.0,closed,False,False
6174,37,6,2,6,0.75,closed,True,True
6173,1976825,3,0,0,0.0,closed,False,False
6172,119,130,1,0,0.0,closed,False,False
6171,18,0,1,0,0.0,closed,False,False
6170,91,58,1,0,0.0,closed,False,False
6169,197,97,10,24,0.7272727272727273,closed,True,True
6168,91,58,0,0,0.0,closed,False,False
6167,31,0,0,0,0.0,closed,False,False
6166,25,15,11,4,0.18181818181818182,closed,True,True
6165,4,2,3,0,0.0,closed,False,False
6164,316,43,1,5,1.6666666666666667,open,False,False
6163,3,4,1,0,0.0,closed,True,True
6162,110,0,2,2,1.0,closed,False,False
6158,9,11,3,0,0.0,closed,False,False
6157,11,13,0,0,0.0,closed,False,False
6156,57,4,2,0,0.0,open,False,False
6155,93,1,1,4,2.0,open,False,False
6154,0,27,1,0,0.0,closed,True,True
6151,52,8,6,5,0.5555555555555556,closed,True,True
6150,58,0,1,0,0.0,closed,True,True
6149,36,30,0,0,0.0,closed,True,True
6148,72,6,3,4,1.0,open,False,False
6147,12,4,1,0,0.0,closed,True,True
6145,68,7,3,7,1.4,closed,False,False
6144,6,5,2,0,0.0,closed,True,True
6143,209,18,9,12,0.7058823529411765,closed,True,True
6141,86,0,1,0,0.0,open,False,False
6137,67,122,1,0,0.0,closed,True,True
6135,1,0,3,0,0.0,closed,False,False
6134,11,27,4,0,0.0,closed,True,True
6133,3,1,4,4,1.0,closed,True,True
6132,12,12,1,0,0.0,closed,True,True
6131,3,7,0,2,0.4,closed,False,False
6130,175,73,1,0,0.0,closed,True,True
6129,372,138,1,7,3.5,closed,True,True
6128,9,1,5,0,0.0,closed,True,True
6127,225,164,1,20,5.0,closed,True,True
6126,32,0,1,0,0.0,closed,False,False
6125,10,0,2,0,0.0,closed,True,True
6124,8,4,5,1,0.25,closed,True,True
6123,38,24,3,8,8.0,closed,False,False
6122,1,1,8,0,0.0,closed,False,False
6117,42,0,1,0,0.0,closed,False,False
6116,1,87,4,16,1.7777777777777777,closed,True,True
6115,0,19,0,0,0.0,closed,False,False
6114,176,0,10,2,0.5,closed,False,False
6113,15,751,1,6,0.46153846153846156,closed,True,True
6112,14,4,2,0,0.0,closed,True,True
6099,5,1,1,0,0.0,closed,True,True
6098,9,13,1,3,1.5,closed,True,True
6097,137,60,1,0,0.0,closed,True,True
6096,1,1,0,0,0.0,closed,False,False
6094,1,1,2,0,0.0,closed,True,True
6093,1,1,1,0,0.0,closed,False,False
6092,1,1,1,0,0.0,closed,False,False
6091,2,1,4,1,1.0,open,False,False
6090,2,0,0,0,0.0,closed,False,False
6088,23,0,0,0,0.0,closed,False,False
6087,5,2,1,2,0.6666666666666666,closed,True,True
6084,6,6,1,0,0.0,closed,True,True
6083,17,29,5,3,0.75,closed,True,True
6082,25,0,8,0,0.0,open,False,False
6081,3,0,1,0,0.0,closed,True,True
6080,57,0,1,2,1.0,closed,False,False
6079,15,2,2,12,3.0,closed,False,False
6078,20,0,1,0,0.0,closed,True,True
6077,3,14,2,6,2.0,closed,True,True
6076,11,2,2,2,0.6666666666666666,closed,False,False
6074,10,0,2,0,0.0,closed,True,True
6073,93,0,1,3,1.0,closed,False,False
6072,84,0,2,2,0.3333333333333333,closed,False,False
6071,25,40,3,3,0.6,closed,False,False
6066,13,0,1,0,0.0,closed,True,True
6064,97,18,2,1,0.1,closed,True,True
6063,87,5,10,3,0.2727272727272727,closed,True,True
6062,3,0,0,2,2.0,closed,False,False
6061,4,0,4,2,0.6666666666666666,closed,True,True
6059,1,0,1,4,1.3333333333333333,closed,True,True
6051,16,0,1,3,0.75,closed,True,True
6050,31,9,1,4,2.0,closed,True,True
6048,164,59,1,3,0.5,closed,True,True
6046,11,11,1,0,0.0,closed,True,True
6045,3,1,1,0,0.0,closed,True,True
6043,2,2,1,2,2.0,closed,False,False
6042,5,0,2,0,0.0,closed,False,False
6040,24,2,1,1,0.5,closed,True,True
6039,5,5,1,0,0.0,closed,False,False
6038,216,43,25,54,1.8,closed,True,True
6037,29,4,1,5,0.5555555555555556,closed,False,False
6036,21,2,1,0,0.0,closed,True,True
6034,20,7,1,0,0.0,closed,True,True
6033,2,2,3,0,0.0,closed,False,False
6030,0,2,9,0,0.0,closed,False,False
6028,4,1,0,2,2.0,closed,False,False
6027,7,0,1,0,0.0,closed,True,True
6026,2,1,1,0,0.0,closed,True,True
6022,1,1,0,0,0.0,closed,False,False
6021,1,0,2,0,0.0,closed,True,True
6016,19,2,3,6,2.0,closed,True,True
6014,11,11,1,1,1.0,closed,True,True
6013,17,4,4,4,4.0,closed,True,True
6010,0,21,1,0,0.0,closed,True,True
6009,1,1,0,0,0.0,closed,True,True
6007,2,24,1,0,0.0,closed,True,True
6005,206,96,1,3,0.2727272727272727,closed,True,True
6003,450,163,1,7,0.4666666666666667,closed,True,True
6002,9,9,1,0,0.0,closed,True,True
6001,172,0,1,3,1.0,closed,True,True
6000,57,35,1,0,0.0,closed,True,True
5999,6,7,2,0,0.0,closed,True,True
5998,18,162,1,1,0.5,closed,True,True
5996,1,98,5,3,0.5,closed,True,True
5993,40,38,1,0,0.0,closed,True,True
5987,27,214,0,0,0.0,closed,False,False
5986,23,12,3,2,0.6666666666666666,closed,True,True
5984,59,65,2,0,0.0,closed,True,True
5982,2,0,7,5,5.0,open,False,False
5980,49,1,1,3,1.5,closed,True,True
5979,81,1,1,1,0.3333333333333333,closed,True,True
5978,3,8,1,0,0.0,closed,False,False
5977,147,57,1,1,0.2,closed,True,True
5976,185,38,2,0,0.0,closed,False,False
5975,23,0,2,0,0.0,closed,False,False
5974,33,0,1,0,0.0,closed,False,False
5973,101,28,1,6,2.0,closed,False,False
5972,213,54,3,0,0.0,closed,False,False
5971,63,4,2,6,3.0,closed,True,True
5967,4,2,2,0,0.0,closed,False,False
5965,2,2,2,2,2.0,closed,True,True
5964,7,2,1,1,0.5,closed,False,False
5963,5,9,2,0,0.0,closed,True,True
5960,43,0,1,0,0.0,closed,True,True
5958,8,31,1,0,0.0,closed,True,True
5953,27,36,1,0,0.0,closed,True,True
5952,42,7,3,5,0.45454545454545453,closed,True,True
5951,4,1,1,0,0.0,closed,True,True
5950,446,123,13,87,1.5263157894736843,closed,True,True
5949,26,10,2,0,0.0,closed,True,True
5948,1,0,1,0,0.0,closed,True,True
5946,44,1,3,9,3.0,open,False,False
5945,281,83,4,0,0.0,closed,False,False
5943,172,72,5,1,0.14285714285714285,open,False,False
5941,1,1,1,0,0.0,closed,False,False
5939,32,4,4,0,0.0,closed,True,True
5937,4,3,1,0,0.0,closed,True,True
5931,20,0,2,0,0.0,closed,True,True
5929,113,36,2,12,0.75,closed,True,True
5927,63,4,5,17,0.8947368421052632,closed,True,True
5926,454,0,10,20,0.7692307692307693,closed,True,True
5925,342,222,2,7,0.3684210526315789,closed,True,True
5922,77,26,0,0,0.0,open,False,False
5919,55,26,1,2,2.0,closed,True,True
5918,8,2,2,5,2.5,closed,True,True
5917,19,3,3,0,0.0,closed,True,True
5915,189,0,5,0,0.0,closed,True,True
5911,23,0,8,1,0.16666666666666666,open,False,False
5909,124,3,3,5,1.25,closed,True,True
5908,5,4,2,0,0.0,closed,True,True
5907,8,2,0,1,1.0,closed,False,False
5904,2,2,1,1,0.5,closed,True,True
5902,12,8,4,4,0.5714285714285714,closed,True,True
5901,18,1,2,2,0.2857142857142857,closed,True,True
5900,3,3,0,0,0.0,closed,False,False
5898,3,3,4,3,0.375,closed,True,True
5897,5,4,0,0,0.0,closed,False,False
5896,211,125,1,2,0.25,closed,True,True
5895,1,1,1,0,0.0,closed,True,True
5893,1,1,3,0,0.0,closed,True,True
5892,95,0,6,2,0.5,closed,True,True
5891,3,2,2,0,0.0,closed,True,True
5890,1,1,2,0,0.0,closed,True,True
5889,244,146,1,0,0.0,closed,True,True
5885,29,33,3,3,0.3,closed,True,True
5884,23,24,4,0,0.0,closed,False,False
5883,3,3,1,0,0.0,closed,True,True
5882,2076,1398,0,0,0.0,closed,False,False
5881,45,1,8,0,0.0,closed,True,True
5880,1,0,3,0,0.0,closed,True,True
5879,1,1,1,0,0.0,closed,True,True
5877,0,11,3,0,0.0,closed,True,True
5876,148,16,9,15,1.6666666666666667,closed,True,True
5871,0,11,0,0,0.0,closed,False,False
5870,1,1,0,0,0.0,closed,False,False
5869,0,1,0,0,0.0,closed,False,False
5868,1,1,0,0,0.0,closed,False,False
5867,0,1,1,0,0.0,closed,False,False
5866,1,1,0,0,0.0,closed,False,False
5865,0,1,0,0,0.0,closed,False,False
5864,0,1,0,0,0.0,closed,False,False
5863,1,1,0,0,0.0,closed,False,False
5862,0,1,0,0,0.0,closed,False,False
5861,0,1,0,0,0.0,closed,False,False
5860,0,1,0,0,0.0,closed,False,False
5859,6,2,0,1,1.0,open,False,False
5858,3,0,1,0,0.0,closed,True,True
5856,63,3,1,10,1.4285714285714286,open,False,False
5852,96,0,4,0,0.0,closed,False,False
5851,14,5,1,9,2.25,closed,True,True
5849,1,1,2,0,0.0,closed,True,True
5848,111,0,1,0,0.0,closed,False,False
5847,72,54,10,10,1.25,closed,True,True
5846,58,2,4,15,1.6666666666666667,closed,True,True
5843,185,0,0,0,0.0,closed,False,False
5840,54,0,0,0,0.0,closed,False,False
5839,1,1,1,0,0.0,closed,True,True
5833,158,75,14,6,0.375,closed,True,True
5832,39,8,3,3,0.5,closed,True,True
5830,94,18,11,2,0.2857142857142857,closed,False,False
5827,4,4,1,0,0.0,closed,True,True
5826,52,4,2,0,0.0,closed,True,True
5824,130,8,2,0,0.0,closed,True,True
5823,19,189,3,2,1.0,closed,True,True
5822,2,1,3,0,0.0,closed,False,False
5821,20,0,2,1,0.25,closed,True,True
5820,1,0,3,0,0.0,closed,True,True
5816,2498,1758,15,11,2.2,closed,True,True
5815,166,2,4,3,0.75,open,False,False
5814,46,48,5,11,2.75,closed,True,True
5812,81662,85699,2,0,0.0,closed,False,False
5808,74,16,7,8,0.3333333333333333,closed,True,True
5807,15,0,6,0,0.0,closed,True,True
5806,431,490,6,7,0.875,closed,True,True
5805,122,81,1,6,0.25,closed,True,True
5804,0,0,1,0,0,closed,False,False
5802,15,25,5,0,0.0,closed,True,True
5801,31,7,1,4,0.2222222222222222,closed,True,True
5800,5,0,3,6,2.0,closed,True,True
5799,230,14,4,9,0.6428571428571429,closed,True,True
5798,98,34,10,17,1.1333333333333333,closed,True,True
5795,6,7,0,0,0.0,closed,True,True
5793,2,1,1,1,0.5,open,False,False
